loss,mass,count,frequency
C5H11N3O,129.090211972,1,2.1213406873143826E-4
C2H3N,41.026549096,10,0.0021213406873143827
CH5NS,63.014270159999995,1,2.1213406873143826E-4
C8H14OS,158.076536068,1,2.1213406873143826E-4
C4H5F2NO,121.03392022,1,2.1213406873143826E-4
C9H8N,130.065674256,1,2.1213406873143826E-4
C6H2N2,102.021798064,1,2.1213406873143826E-4
C2H8N2O4S2,187.992548736,1,2.1213406873143826E-4
C9H8O,132.057514876,2,4.2426813746287653E-4
C12H18N2,190.146998576,1,2.1213406873143826E-4
C10H12O5,212.06847348399998,1,2.1213406873143826E-4
C20H30O2,302.2245802,1,2.1213406873143826E-4
C8H8O,120.057514876,1,2.1213406873143826E-4
C6H5NO2,123.0320284,1,2.1213406873143826E-4
C10H2S,153.987721064,2,4.2426813746287653E-4
C12H8ClNS,233.006597936,3,6.364022061943148E-4
C4H4O2S,115.993200368,1,2.1213406873143826E-4
C2H6O3,78.03169405199999,1,2.1213406873143826E-4
C7HN,99.010899032,1,2.1213406873143826E-4
C4H4,52.031300128,6,0.0012728044123886295
C6H3ClN2OS,185.965461396,1,2.1213406873143826E-4
C3H10N2O2S,138.04629856,1,2.1213406873143826E-4
C12H13NO3,219.08954327599997,1,2.1213406873143826E-4
C14H9ClOS,260.006263588,1,2.1213406873143826E-4
O,15.99491462,5,0.0010606703436571913
C6H12N2O,128.094963004,1,2.1213406873143826E-4
C2H12ClN2S,131.04097206400002,1,2.1213406873143826E-4
C5H2S,93.987721064,1,2.1213406873143826E-4
C8H11NO3,169.07389321199997,1,2.1213406873143826E-4
C2H3NO,57.021463716,24,0.005091217649554518
C10H18O,154.135765196,1,2.1213406873143826E-4
C24H18N2S,366.119069576,1,2.1213406873143826E-4
C10S,151.972071,1,2.1213406873143826E-4
C3H6N2O2,102.042927432,1,2.1213406873143826E-4
C10H10,130.07825032,1,2.1213406873143826E-4
HF,20.006228252,11,0.002333474756045821
C2H5NO4S,138.99392863999998,1,2.1213406873143826E-4
C5H7NO,97.052763844,1,2.1213406873143826E-4
C2H2O3,74.000393924,1,2.1213406873143826E-4
C10H10O5,210.05282341999998,1,2.1213406873143826E-4
HO3P,79.96633052199999,16,0.0033941450997030122
C6H2N2O,118.016712684,1,2.1213406873143826E-4
CH4N3,58.040522128,1,2.1213406873143826E-4
C3H2O,54.010564684,9,0.0019092066185829445
C7H6O,106.041864812,4,8.485362749257531E-4
C2H7NO2,77.047678464,1,2.1213406873143826E-4
C5H10,70.07825032,1,2.1213406873143826E-4
C5H9F2N3S,181.048524728,1,2.1213406873143826E-4
