"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C11H9NO2","187.063328528","0.27272728","0.8181818","0.09090909","6.0","8.0"
"C3HNO","67.005813652","0.6666667","0.33333334","0.33333334","4.0","4.0"
"C9H7NO","145.052763844","0.22222222","0.7777778","0.11111111","10.0","7.0"
"C11H11NO3","205.07389321199997","0.36363637","1.0","0.09090909","4.0","7.0"
"C9H6O2","146.036779432","0.22222222","0.6666667","0.0","4.5","7.0"
"C4H4","52.031300128","0.0","1.0","0.0","5.0","3.0"
"C3H2O","54.010564684","0.33333334","0.6666667","0.0","3.0","3.0"
"C5H4O","80.026214748","0.2","0.8","0.0","5.0","4.0"
"C7H4O3","136.01604398799998","0.42857143","0.5714286","0.0","2.3333333","6.0"
"C5H4","64.031300128","0.0","0.8","0.0","6.25","4.0"
"C7H6","90.046950192","0.0","0.85714287","0.0","8.75","5.0"
"C8H6O","118.041864812","0.125","0.75","0.0","8.0","6.0"
"C9H8O3","164.04734411599998","0.33333334","0.8888889","0.0","3.0","6.0"
"C5H5N","79.04219916","0.2","1.0","0.2","7.5","4.0"
"C6H5NO","107.03711378","0.33333334","0.8333333","0.16666667","7.0","5.0"
"C6H5N","91.04219916","0.16666667","0.8333333","0.16666667","8.75","5.0"
"C7H5NO2","135.0320284","0.42857143","0.71428573","0.14285715","4.0","6.0"
"C8H7N","117.057849224","0.125","0.875","0.125","11.25","6.0"
"C9H9NO2","163.063328528","0.33333334","1.0","0.11111111","5.0","6.0"
"C8H5","101.03912516","0.0","0.625","0.0","10.0","6.5"
"C4H2","50.015650064","0.0","0.5","0.0","5.0","4.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C8H6","102.046950192","0.0","0.75","0.0","10.0","6.0"
"C5H2","62.015650064","0.0","0.4","0.0","6.25","5.0"
"C7H4","88.031300128","0.0","0.5714286","0.0","8.75","6.0"
"C9H6O","130.041864812","0.11111111","0.6666667","0.0","9.0","7.0"
"C9H6","114.046950192","0.0","0.6666667","0.0","11.25","7.0"
"C10H6O2","158.036779432","0.2","0.6","0.0","5.0","8.0"
"C10H6O","142.041864812","0.1","0.6","0.0","10.0","8.0"
"C8H5NOS","163.00918478","0.375","0.625","0.25","10.0","7.0"
"C6H4S","108.003371128","0.16666667","0.6666667","0.16666667","8.75","5.0"
"C7H4O2S","151.993200368","0.42857143","0.5714286","0.14285715","4.0","6.0"
"C9H7NO2S","193.019749464","0.44444445","0.7777778","0.22222222","5.5","7.0"
"C6H6N2","106.053098192","0.33333334","1.0","0.33333334","10.0","5.0"
"C7H9N3","135.079647288","0.42857143","1.2857143","0.42857143","12.5","5.0"
"C7H6N2O","134.048012812","0.42857143","0.85714287","0.2857143","9.0","6.0"
"C5H6N2","94.053098192","0.4","1.2","0.4","8.75","4.0"
"C5H3N","77.026549096","0.2","0.6","0.2","7.5","5.0"
"C6H4N2O","120.032362748","0.5","0.6666667","0.33333334","8.0","6.0"
"C6H6N2O","122.048012812","0.5","1.0","0.33333334","8.0","5.0"
"C8H7N3O","161.058911844","0.5","0.875","0.375","11.0","7.0"
"C8H9N3O","163.074561908","0.5","1.125","0.375","11.0","6.0"
"C6H3I","201.927948096","0.16666667","0.5","0.16666667","8.75","5.0"
"C7H3IO","229.922862716","0.2857143","0.42857143","0.14285715","8.0","6.0"
"C6H3","75.023475096","0.0","0.5","0.0","7.5","5.5"
"C7H3O","103.018389716","0.14285715","0.42857143","0.0","7.0","6.5"
"C7H4O","104.026214748","0.14285715","0.5714286","0.0","7.0","6.0"
"C6H5N","91.04219916","0.16666667","0.8333333","0.16666667","8.75","5.0"
"C6H4","76.031300128","0.0","0.6666667","0.0","7.5","5.0"
"C7H5NO","119.03711378","0.2857143","0.71428573","0.14285715","8.0","6.0"
"C17H14NO3","280.097368308","0.23529412","0.8235294","0.05882353","6.0","11.5"
"C17H12NO2","262.08680362399997","0.1764706","0.7058824","0.05882353","9.0","12.5"
"C18H14NO4","308.092282928","0.2777778","0.7777778","0.055555556","4.75","12.5"
"C10H6NO","156.044938812","0.2","0.6","0.1","11.0","8.5"
"C16H12NO","234.091889004","0.125","0.75","0.0625","17.0","11.5"
"C18H16NO3","294.113018372","0.22222222","0.8888889","0.055555556","6.3333335","11.5"
"C16H12NO2","250.086803624","0.1875","0.75","0.0625","8.5","11.5"
"C10H8NO","158.060588876","0.2","0.8","0.1","11.0","7.5"
"C10H6N","140.050024192","0.1","0.6","0.1","13.75","8.5"
"C11H8NO2","186.055503496","0.27272728","0.72727275","0.09090909","6.0","8.5"
"C10H4NO","154.029288748","0.2","0.4","0.1","11.0","9.5"
"C11H8NO","170.060588876","0.18181819","0.72727275","0.09090909","12.0","8.5"
"C9H7O2","147.044604464","0.22222222","0.7777778","0.0","4.5","6.5"
"C12H12NO2","202.086803624","0.25","1.0","0.083333336","6.5","7.5"
"C19H18NO4","324.12358305600003","0.2631579","0.94736844","0.05263158","5.0","11.5"
"C19H15NO4","321.10010796","0.2631579","0.7894737","0.05263158","5.0","13.0"
"C18H13NO4","307.084457896","0.2777778","0.7222222","0.055555556","4.75","13.0"
"C10H7NO","157.052763844","0.2","0.7","0.1","11.0","8.0"
"C10H5NO","155.03711378","0.2","0.5","0.1","11.0","9.0"
"C10H5N","139.04219916","0.1","0.5","0.1","13.75","9.0"
"C11H7NO2","185.047678464","0.27272728","0.6363636","0.09090909","6.0","9.0"
"C11H7NO","169.052763844","0.18181819","0.6363636","0.09090909","12.0","9.0"
"C9H7N","129.057849224","0.11111111","0.7777778","0.11111111","12.5","7.0"
"C11H9NO","171.068413908","0.18181819","0.8181818","0.09090909","12.0","8.0"
"C10H7N","141.057849224","0.1","0.7","0.1","13.75","8.0"
"C9H5N","127.04219916","0.11111111","0.5555556","0.11111111","12.5","8.0"
"C12H11NO2","201.078978592","0.25","0.9166667","0.083333336","6.5","8.0"
"C18H17NO3","295.12084340399997","0.22222222","0.9444444","0.055555556","6.3333335","11.0"
"C16H13NO2","251.094628656","0.1875","0.8125","0.0625","8.5","11.0"
"C18H15NO3","293.10519333999997","0.22222222","0.8333333","0.055555556","6.3333335","12.0"
"C15H13NO2","239.094628656","0.2","0.8666667","0.06666667","8.0","10.0"
"C17H15NO3","281.10519333999997","0.23529412","0.88235295","0.05882353","6.0","11.0"
"C17H13NO2","263.094628656","0.1764706","0.7647059","0.05882353","9.0","12.0"
"C16H11NO2","249.078978592","0.1875","0.6875","0.0625","8.5","12.0"
"C10H10O","146.07316494","0.1","1.0","0.0","10.0","6.0"
"C6H6O","94.041864812","0.16666667","1.0","0.0","6.0","4.0"
