"formula","mass","h2c","hy2c","xh2c","h2o","rdbe"
"C12HNaO3P2","277.929861432","0.5","0.083333336","0.25","5.0","13.0"
"C8H4INNaO3P3","404.834645158","1.125","0.5","0.75","4.6666665","8.0"
"C6H9INaOP","277.933343818","0.6666667","1.5","0.5","9.0","2.0"
"C7FIN3NaO3P2","404.83413462","1.5714285","0.0","1.1428572","5.0","9.0"
"C8H4IN2Na","277.931690408","0.5","0.5","0.5","15.0","7.0"
"C6HFIN2O6P2","404.83386023199995","2.0","0.16666667","1.0","2.0","7.5"
"C7H5INO3","277.93141602","0.71428573","0.71428573","0.2857143","3.0","5.5"
"C8HN3O5P6","404.83418991199994","1.75","0.125","1.125","3.4","13.0"
"C9N2O5P2","277.92824436","1.0","0.0","0.44444445","2.6","12.0"
"C5H6I2NNaO3","404.833483332","1.4","1.2","0.8","3.0","2.0"
"C7H5INO3","277.93141602","0.71428573","0.71428573","0.2857143","3.0","5.5"
"C9IN2O5P2","404.83271736","1.1111112","0.0","0.5555556","2.8","11.5"
"C7H5INO3","277.93141602","0.71428573","0.71428573","0.2857143","3.0","5.5"
"C5H3IN4O2","277.93007333599996","1.4","0.6","1.0","5.0","6.0"
"C5H3N4O2","151.025600336","1.2","0.6","0.8","4.5","6.5"
"C5H3I2N4O2","404.834546336","1.6","0.6","1.2","5.5","5.5"
"C6HFNO9P5","404.832341982","2.6666667","0.16666667","1.1666666","1.4444444","9.0"
"C4H6FO7P3","277.93104064199997","2.75","1.5","1.0","1.1428572","3.0"
"C11H14FNaO","204.092637568","0.27272728","1.2727273","0.18181819","13.0","4.0"
"C13H16FNaO","230.10828763199999","0.23076923","1.2307693","0.15384616","15.0","5.0"
"C14H21FNNaO","261.150486792","0.2857143","1.5","0.21428572","17.0","4.0"
"C16H23FNNaO","287.166136856","0.25","1.4375","0.1875","19.0","5.0"
"C27H39FNNaO","435.29133736800003","0.14814815","1.4444444","0.11111111","30.0","8.0"
"C8H12FNaO","166.076987504","0.375","1.5","0.25","10.0","2.0"
"C12H16FNaO","218.10828763199999","0.25","1.3333334","0.16666667","14.0","4.0"
"C13H21FNNaO","249.15048679199998","0.30769232","1.6153846","0.23076923","16.0","3.0"
"C14H23FNNaO2","279.161051476","0.35714287","1.6428572","0.21428572","8.5","3.0"
"C14H27FNNaO","267.197436984","0.2857143","1.9285715","0.21428572","17.0","1.0"
"C27H41FNNaO2","453.30190205200006","0.18518518","1.5185186","0.11111111","15.0","7.0"
"C27H41NaO3","436.295339452","0.14814815","1.5185186","0.037037037","9.333333","7.0"
"C6H10F2N6","204.09350075999998","1.3333334","1.6666666","1.3333334","17.5","4.0"
"C8H12F2N6","230.10915082399998","1.0","1.5","1.0","20.0","5.0"
"C9H17F2N7","261.151349984","1.0","1.8888888","1.0","22.5","4.0"
"C11H19F2N7","287.167000048","0.8181818","1.7272727","0.8181818","25.0","5.0"
"C22H35F2N7","435.29220056","0.4090909","1.5909091","0.4090909","38.75","8.0"
"C7H12F2N6","218.10915082399998","1.1428572","1.7142857","1.1428572","18.75","4.0"
"C8H17F2N7","249.15134998399998","1.125","2.125","1.125","21.25","3.0"
"C9H19F2N7O","279.161914668","1.1111112","2.1111112","1.0","18.0","3.0"
"C9H23F2N7","267.198300176","1.0","2.5555556","1.0","22.5","1.0"
"C22H37F2N7O","453.302765244","0.45454547","1.6818181","0.4090909","31.0","7.0"
"C11H14FNaO","204.092637568","0.27272728","1.2727273","0.18181819","13.0","4.0"
