loss,mass,count,frequency
C2HF2NO2,108.997534712,1,2.7693159789531985E-4
C8H8,104.062600256,7,0.001938521185267239
C4H8O3,104.04734411599999,1,2.7693159789531985E-4
C4H4N2O2,112.027277368,1,2.7693159789531985E-4
C4H8N2O,100.063662876,1,2.7693159789531985E-4
C4H2Cl2NO2P,196.92002029399998,1,2.7693159789531985E-4
C3H4ClP,105.973914438,1,2.7693159789531985E-4
C2H4,28.031300127999998,17,0.011459649885173607
C6H2,74.015650064,10,0.0027693159789531985
CH4S,48.003371128,2,5.538631957906397E-4
C3ClN,84.97192668,3,8.307947936859596E-4
C7H6Cl,125.015802872,1,2.7693159789531985E-4
CFN,45.00147722,1,2.7693159789531985E-4
C8HN,111.010899032,2,5.538631957906397E-4
C4H4O,68.026214748,7,0.001938521185267239
C2H2ClN,74.987576744,3,8.307947936859596E-4
C2H4O3,76.01604398799999,1,2.7693159789531985E-4
C2HNO,55.005813652,1,2.7693159789531985E-4
C7H13N,111.10479941599999,1,2.7693159789531985E-4
C7H4ClNO3S,216.960041668,2,5.538631957906397E-4
C2HClO2,91.966506952,1,2.7693159789531985E-4
C6H13ClO,136.065492716,1,2.7693159789531985E-4
C4H7Cl2NO,154.990469204,1,2.7693159789531985E-4
C3H2ClN,86.987576744,2,5.538631957906397E-4
C9H11NO4S,229.040878832,1,2.7693159789531985E-4
C20H15ClO,306.08114278,2,5.538631957906397E-4
C5H9Cl,104.039277968,1,2.7693159789531985E-4
C14H19FN2O,250.148141448,2,5.538631957906397E-4
C7H13Cl,132.070578096,1,2.7693159789531985E-4
HClN2O,79.977740332,1,2.7693159789531985E-4
CHNOS,74.977884652,1,2.7693159789531985E-4
C5HN,75.010899032,1,2.7693159789531985E-4
C7HCl2N3O,212.949667012,1,2.7693159789531985E-4
C4H8O,72.057514876,1,2.7693159789531985E-4
CH4,16.031300127999998,13,0.007826000396532598
C11H10Cl2N2O,256.0170183,2,5.538631957906397E-4
C2H11ClNO2,116.047831272,1,2.7693159789531985E-4
C8H4Cl2O,185.963920108,2,5.538631957906397E-4
C3ClNO,100.9668413,1,2.7693159789531985E-4
C3N2,64.006148,1,2.7693159789531985E-4
Br,78.9183371,2,5.538631957906397E-4
C7H11NO,125.084063972,2,5.538631957906397E-4
C12H6,150.046950192,1,2.7693159789531985E-4
C5H8,68.062600256,15,0.004086965715741224
C12H14S,190.081621448,1,2.7693159789531985E-4
C6H3ClO,125.987242396,1,2.7693159789531985E-4
CCl2FNS,146.91125358,1,2.7693159789531985E-4
CHClN2,75.982825712,1,2.7693159789531985E-4
C3H4N4,96.04359612799999,1,2.7693159789531985E-4
CH2N2,42.021798063999995,19,0.005261700360011078
C4HCl,83.976677712,5,0.0013846579894765993
C6H3Cl2O,160.956095076,1,2.7693159789531985E-4
C5H3ClF3N,168.990611436,1,2.7693159789531985E-4
H2Cl,36.984502744,1,2.7693159789531985E-4
C4Cl2O2,149.9275346,1,2.7693159789531985E-4
C2O3,71.98474386,1,2.7693159789531985E-4
C2HN3,67.017047032,5,0.0013846579894765993
C22H19ClO,334.112442908,1,2.7693159789531985E-4
C7H8ClN2O2,187.027430176,1,2.7693159789531985E-4
C8H3Cl2F3N2,253.962538116,1,2.7693159789531985E-4
C5F3N,130.99828366,1,2.7693159789531985E-4
C5H9N3,111.07964728799999,1,2.7693159789531985E-4
C5H13NO,103.099714036,1,2.7693159789531985E-4
H2ClO,52.979417364,4,0.0011077263915812794
C7H4FN,121.032777348,1,2.7693159789531985E-4
C2HN,39.010899032,8,0.002215452783162559
H2ClN,50.987576743999995,2,5.538631957906397E-4
C6H9N,95.073499288,1,2.7693159789531985E-4
C4H11NO,89.08406397200001,2,5.538631957906397E-4
CH2N,28.018724063999997,2,5.538631957906397E-4
ClOP,81.93752893,1,2.7693159789531985E-4
C3H2ClNO,102.982491364,1,2.7693159789531985E-4
C7HCl2F2NO,222.940325452,1,2.7693159789531985E-4
C10HCl,155.976677712,1,2.7693159789531985E-4
C7H14N2O2S,190.077598688,1,2.7693159789531985E-4
C5H6,66.046950192,2,5.538631957906397E-4
C3H3N3,81.03269709599999,1,2.7693159789531985E-4
C3H8,44.062600255999996,2,5.538631957906397E-4
C15H9ClN2O3,300.030169828,1,2.7693159789531985E-4
C6H3N,89.026549096,1,2.7693159789531985E-4
C2H3NOS,88.993534716,1,2.7693159789531985E-4
H10ClN2,73.05325099999999,1,2.7693159789531985E-4
C3H4ClN,89.003226808,1,2.7693159789531985E-4
C9H3Cl2F4NO2,302.947696576,1,2.7693159789531985E-4
C7H5F2NO,157.03392022,1,2.7693159789531985E-4
C3H5NS,87.01427016,1,2.7693159789531985E-4
CH3ClO,65.987242396,1,2.7693159789531985E-4
H3ClN,51.995401775999994,4,0.0011077263915812794
C13H3Cl,193.992327776,1,2.7693159789531985E-4
CH5N3,59.04834716,1,2.7693159789531985E-4
C8H16N2O3,188.11609237199997,1,2.7693159789531985E-4
C4H6N2O3,130.03784205199997,1,2.7693159789531985E-4
C8HN3OS,186.984032652,1,2.7693159789531985E-4
C11H2,134.015650064,1,2.7693159789531985E-4
C5H4,64.031300128,3,8.307947936859596E-4
C6H10Cl2,152.01595568,1,2.7693159789531985E-4
C6H10O2S,146.04015056,2,5.538631957906397E-4
CN2O2,71.99597724,1,2.7693159789531985E-4
C11HClF3NO2,270.964790612,1,2.7693159789531985E-4
C10HClO,171.971592332,1,2.7693159789531985E-4
C9H3Cl2NO,210.959169076,1,2.7693159789531985E-4
C3H15Cl,86.08622815999999,1,2.7693159789531985E-4
C15H19ClO,250.112442908,1,2.7693159789531985E-4
C6H4,76.031300128,6,0.001661589587371919
C4H11N,73.089149352,5,0.0013846579894765993
C6ClNO,136.9668413,1,2.7693159789531985E-4
C7H13ClO2,164.060407336,1,2.7693159789531985E-4
C6H6O,94.041864812,3,8.307947936859596E-4
C7H4ClNO,152.998141428,1,2.7693159789531985E-4
C9Cl2F6N2O2,351.92410192,1,2.7693159789531985E-4
C4H7NO,85.052763844,1,2.7693159789531985E-4
CH3N,29.026549096,16,0.011245498647398771
C7H3N,101.026549096,2,5.538631957906397E-4
C14H22N2O,234.173213324,1,2.7693159789531985E-4
CN2O,56.00106262,4,0.0011077263915812794
CHClF3N3O2,178.970938612,1,2.7693159789531985E-4
C4HP,79.981586662,1,2.7693159789531985E-4
C3H7Cl2O3,160.977224444,1,2.7693159789531985E-4
H5N2O2S,97.0071734,1,2.7693159789531985E-4
C5H12N2,100.10004838399999,1,2.7693159789531985E-4
CH13NP,70.078561046,1,2.7693159789531985E-4
C7H9N3,135.079647288,1,2.7693159789531985E-4
C5Cl2O,145.93261998,1,2.7693159789531985E-4
C4H5N3,95.04834715999999,1,2.7693159789531985E-4
CH5N,31.042199159999996,16,0.011445702835567806
C4ClN,96.97192668,1,2.7693159789531985E-4
C6H6N2O2,138.042927432,1,2.7693159789531985E-4
C3H9NO4,123.05315776799999,1,2.7693159789531985E-4
CHClO,63.971592332,3,8.307947936859596E-4
CF2,49.99680644,1,2.7693159789531985E-4
CH2ClNO,78.982491364,1,2.7693159789531985E-4
H11NP,56.062910982,1,2.7693159789531985E-4
C7H5ClN2O3S,231.9709407,1,2.7693159789531985E-4
C7H3Cl2N3,198.970402456,1,2.7693159789531985E-4
H10O3,58.06299417999999,1,2.7693159789531985E-4
HN,15.010899032,14,0.003877042370534478
C7H14N2O3S,206.07251330799997,1,2.7693159789531985E-4
C6H13NO,115.099714036,1,2.7693159789531985E-4
C3H9N,59.073499287999994,19,0.005261700360011078
C6H5,77.03912516,1,2.7693159789531985E-4
C4H3N,65.026549096,1,2.7693159789531985E-4
CHClO2,79.966506952,2,5.538631957906397E-4
BrCl,113.88718978,3,8.307947936859596E-4
C15H24N2,232.19394876799998,1,2.7693159789531985E-4
C2H7BrO4P,204.92653243400002,1,2.7693159789531985E-4
C13H14O,186.104465068,1,2.7693159789531985E-4
