58	[CX4]([#6])([#6])([#6])[#6]
59	[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]
60	[CX2]#[CX2]
61	[CX3]=[CX2]=[CX3]
62	[ClX1][CX4]
63	[FX1][CX4]
64	[BrX1][CX4]
65	[IX1][CX4]
66	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])]
67	[OX2H][CX4H2;!$(C([OX2H])[O,S,#7,#15])]
68	[OX2H][CX4H;!$(C([OX2H])[O,S,#7,#15])]
69	[OX2H][CX4D4;!$(C([OX2H])[O,S,#7,#15])]
70	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]
71	[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]
72	[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]
73	[c][OX2][c]
74	[SX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]
75	[c][SX2][c]
76	[O+;!$([O]~[!#6]);!$([S]*~[#7,#8,#15,#16])]
77	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]
78	[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]
79	[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]
80	[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]
81	[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]
82	[NX3H2+0,NX4H3+]c
83	[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]
84	[NX3H0+0,NX4H1+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]
85	[NX4H0+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]
86	[NX3H1+0,NX4H2+;$([N]([c])[C]);!$([N]*~[#7,#8,#15,#16])]
87	[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])]
88	[NX4H0+;$([N]([c])([C])[#6][#6]);!$([N]*~[#7,#8,#15,#16])]
89	[N+;!$([N]~[!#6]);!$(N=*);!$([N]*~[#7,#8,#15,#16])]
90	[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])]
91	[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])]
92	[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])]
93	[SX2D2][SX2D2]
94	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])]
95	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H]
96	[OX2H][CX4;!$(C([OX2H])([OX2H])[O,S,#7,#15])][OX2H]
97	[OX2H][OX2]
98	[OX2D2][OX2D2]
99	[LiX1][#6,#14]
100	[MgX2][#6,#14]
101	[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#33;!#34;!#35;!#52;!#53;!#85]~[#6;!-]
102	[$([CX3H][#6]),$([CX3H2])]=[OX1]
